# source: Luminescence R package v1.3.0.9000-2, data/BaseDataSet.ConversionFactors.rda
# generated: 2026-08-12 14:55:17 CEST by tools/generate_fixtures.R
"K","Th","U"
0.248,0.0489,0.112
0.003,3e-04,0.001
