# source: Luminescence R package v1.3.0.9000-2, data/BaseDataSet.ConversionFactors.rda
# generated: 2026-08-12 14:55:17 CEST by tools/generate_fixtures.R
"Th","U"
0.7375,2.793
0.0026,0.011
